t,score,threshold,alert,y_true,switching,err_phys,err_cyber,err_event,attack_type
301,3.561290225213652,2.121669205699315,0,0,1,2.1222944259643555,1.1203255653381348,0.004554022569209337,none
302,5.1332041175463115,2.121669205699315,0,0,1,2.26141619682312,1.0375334024429321,40097.80078125,none
303,5.760812892795996,2.121669205699315,0,0,1,2.458606004714966,1.1222305297851562,40097.66015625,none
304,5.938772132685971,2.121669205699315,0,0,1,2.094351053237915,1.2187857627868652,40097.91796875,none
305,6.025328885408513,2.121669205699315,0,0,1,3.773035764694214,0.9453482031822205,40097.4921875,none
306,5.71786528505182,2.121669205699315,0,0,1,2.48860764503479,1.108925461769104,40097.76953125,none
307,4.838159081262857,2.121669205699315,0,0,1,2.7425711154937744,0.7726510763168335,40097.703125,none
308,5.987779069519865,2.121669205699315,0,0,1,2.9069619178771973,1.0877658128738403,40097.703125,none
309,5.744717443521585,2.121669205699315,0,0,1,2.2613179683685303,1.1532458066940308,40097.70703125,none
310,7.611650557853095,2.121669205699315,0,0,1,2.3355343341827393,1.493647813796997,40097.671875,none
311,4.659848888413853,2.121669205699315,0,0,1,2.547165632247925,0.8822357058525085,40097.68359375,none
312,4.763372532986233,2.121669205699315,0,0,1,2.660614490509033,0.7866163849830627,40097.66015625,none
313,5.8611643956103,2.121669205699315,0,0,1,3.4368345737457275,0.9723319411277771,40097.52734375,none
314,7.070691316103263,2.121669205699315,0,0,1,3.667137861251831,1.1614084243774414,40097.43359375,none
315,5.256622921748093,2.121669205699315,0,0,1,3.2011547088623047,0.8613686561584473,40097.58203125,none
316,2.7325324662078962,2.121669205699315,0,0,1,2.379000186920166,0.839671790599823,0.004259559325873852,none
317,3.5898854307194075,2.121669205699315,0,0,1,2.21492862701416,1.0978225469589233,0.004834873601794243,none
318,3.775485523991243,2.121669205699315,0,0,1,2.994898796081543,0.8967254161834717,0.004726673010736704,none
319,4.266186882844574,2.121669205699315,0,0,1,3.2911276817321777,0.8877981305122375,0.005110924132168293,none
